Language_ID,Feature,Vale
bar1,A,ka
bar1,A,yu
bar1,A,sa
bar1,A,ria
bar1,A,ruyu
bar1,B,ruyu
bar1,B,yu
bar1,B,sa
bar1,B,ria
bar1,C,ha
bar1,C,bu
bar1,C,ruyu
bar1,C,yu
bar1,C,sa
bar1,C,ria
bar1,R,a
bar1,R,s
bar1,R,ro
bar1,R,go
bar1,R,gu
bar1,R,ra
bar1,XYZ,go
bar1,XYZ,gu
bar1,XYZ,ra
bar1,XYZ,ro
lat1,R,u
lat1,R,I
lat1,R,
lat1,R,am
lat1,R,at
lat1,R,ju
lat1,R,
lat1,R,
lat1,R,jam
lat1,R,jat
lat1,ABC,u
lat1,ABC,I
lat1,ABC,a
lat1,ABC,am
lat1,ABC,at
lat1,ABC,ju
lat1,ABC,ji
lat1,ABC,ja
lat1,ABC,jam
lat1,ABC,jat
lat1,XYZ,su
lat1,XYZ,si
lat1,XYZ,s
lat1,XYZ,sim
lat1,XYZ,siet
lat1,XYZ,sit
lez1,ABC,nwa
lez1,ABC,nawa
lez1,ABC,na
lez1,RXYZ,da
ets1,ABCR,se
ets1,XYZ,te
ets1,XYZ,nko
tur1,XYZ,ecek
tur1,R,ir
tur1,R,er
tur1,R,r
tur1,ABC,di
ita1,ABC,aki
ita1,R,ta
ita1,XYZ,ke?e
inã1,ABCRX,
inã1,YZ,ko
hun1,R,ok
hun1,R,ek
hun1,R,ok
hun1,R,om
hun1,R,em
hun1,R,om
hun1,R,sz
hun1,R,esz
hun1,R,ol
hun1,R,el
hun1,R,ol
hun1,R,ik
hun1,R,anak
hun1,R,enek
hun1,R,unk
hun1,R,unk
hun1,R,tok
hun1,R,tek
hun1,R,tok
hun1,R,otok
hun1,R,etok
hun1,R,otok
hun1,R,nak
hun1,R,nek
hun1,ABC,ottok
hun1,ABC,ottek
hun1,ABC,ottok
hun1,ABC,ottom
hun1,ABC,ottem
hun1,ABC,ottom
hun1,ABC,ottsz
hun1,ABC,ottesz
hun1,ABC,ottol
