"Language_ID","Feature","Value"
"abi1","remote_past",0
"abi1","recent_past",0
"abi1","immediate_past",0
"abi1","past_wo_remote",0
"abi1","past",1
"abi1","present",1
"abi1","immediate_future",0
"abi1","remote_future",0
"abi1","future",1
"abi1","non_past",0
"abi1","non_future",0
"abi1","pre_hodiernal",0
"ada1","remote_past",0
"ada1","recent_past",0
"ada1","immediate_past",0
"ada1","past_wo_remote",0
"ada1","past",1
"ada1","present",1
"ada1","immediate_future",0
"ada1","remote_future",0
"ada1","future",1
"ada1","non_past",0
"ada1","non_future",0
"ada1","pre_hodiernal",0
"aga1","remote_past",0
"aga1","recent_past",0
"aga1","immediate_past",0
"aga1","past_wo_remote",0
"aga1","past",1
"aga1","present",0
"aga1","immediate_future",0
"aga1","remote_future",0
"aga1","future",0
"aga1","non_past",0
"aga1","non_future",0
"aga1","pre_hodiernal",0
"ahã1","remote_past",0
"ahã1","recent_past",0
"ahã1","immediate_past",0
"ahã1","past_wo_remote",0
"ahã1","past",1
"ahã1","present",0
"ahã1","immediate_future",0
"ahã1","remote_future",0
"ahã1","future",0
"ahã1","non_past",0
"ahã1","non_future",0
"ahã1","pre_hodiernal",0
"ahô1","remote_past",0
"ahô1","recent_past",0
"ahô1","immediate_past",0
"ahô1","past_wo_remote",0
"ahô1","past",1
"ahô1","present",0
"ahô1","immediate_future",0
"ahô1","remote_future",0
"ahô1","future",1
"ahô1","non_past",0
"ahô1","non_future",0
"ahô1","pre_hodiernal",0
"ahu1","remote_past",0
"ahu1","recent_past",0
"ahu1","immediate_past",0
"ahu1","past_wo_remote",0
"ahu1","past",0
"ahu1","present",0
"ahu1","immediate_future",0
"ahu1","remote_future",0
"ahu1","future",0
"ahu1","non_past",0
"ahu1","non_future",0
"ahu1","pre_hodiernal",0
"ain1","remote_past",0
"ain1","recent_past",0
"ain1","immediate_past",0
"ain1","past_wo_remote",0
"ain1","past",1
"ain1","present",0
"ain1","immediate_future",0
"ain1","remote_future",0
"ain1","future",0
"ain1","non_past",0
"ain1","non_future",0
"ain1","pre_hodiernal",0
"ais1","remote_past",0
"ais1","recent_past",0
"ais1","immediate_past",0
"ais1","past_wo_remote",0
"ais1","past",1
"ais1","present",1
"ais1","immediate_future",0
"ais1","remote_future",0
"ais1","future",1
"ais1","non_past",0
"ais1","non_future",0
"ais1","pre_hodiernal",0
"alá1","remote_past",0
"alá1","recent_past",0
"alá1","immediate_past",0
"alá1","past_wo_remote",0
"alá1","past",1
"alá1","present",0
"alá1","immediate_future",0
"alá1","remote_future",0
"alá1","future",0
"alá1","non_past",0
"alá1","non_future",0
"alá1","pre_hodiernal",0
"ale1","remote_past",0
"ale1","recent_past",0
"ale1","immediate_past",0
"ale1","past_wo_remote",0
"ale1","past",1
"ale1","present",0
"ale1","immediate_future",0
"ale1","remote_future",0
"ale1","future",0
"ale1","non_past",0
"ale1","non_future",0
